[15:29:49.450] Namespace(base_lr=0.01, batch_size=4, consistency=0.1, consistency_rampup=40.0, consistency_type='mse', deterministic=1, ema_decay=0.99, exp='UAMT_unlabel', gpu='0', labeled_bs=2, max_iterations=6000, root_path='../data/2018LA_Seg_Training Set/', seed=1337)
[15:30:14.280] 8 itertations per epoch
[18:13:05.796] Namespace(base_lr=0.01, batch_size=2, consistency=0.1, consistency_rampup=40.0, consistency_type='mse', deterministic=0, ema_decay=0.99, exp='UAMT_unlabel', gpu='0', labeled_bs=2, max_iterations=6000, root_path='../data/2018LA_Seg_Training Set/', seed=1337)
[18:17:20.081] Namespace(base_lr=0.01, batch_size=2, consistency=0.1, consistency_rampup=40.0, consistency_type='mse', deterministic=0, ema_decay=0.99, exp='UAMT_unlabel', gpu='0', labeled_bs=2, max_iterations=6000, root_path='../data/2018LA_Seg_Training Set/', seed=1337)
[19:08:45.006] Namespace(base_lr=0.01, batch_size=2, consistency=0.1, consistency_rampup=40.0, consistency_type='mse', deterministic=0, ema_decay=0.99, exp='UAMT_unlabel', gpu='0', labeled_bs=2, max_iterations=6000, root_path='../data/2018LA_Seg_Training Set/', seed=1337)
[12:23:28.247] Namespace(base_lr=0.01, batch_size=2, consistency=0.1, consistency_rampup=40.0, consistency_type='mse', deterministic=0, ema_decay=0.99, exp='UAMT_unlabel', gpu='0', labeled_bs=2, max_iterations=6000, root_path='../data/2018LA_Seg_Training Set/', seed=1337)
[12:37:25.562] Namespace(base_lr=0.01, batch_size=2, consistency=0.1, consistency_rampup=40.0, consistency_type='mse', deterministic=0, ema_decay=0.99, exp='UAMT_unlabel', gpu='0', labeled_bs=2, max_iterations=6000, root_path='../data/2018LA_Seg_Training Set/', seed=1337)
[14:09:08.337] Namespace(base_lr=0.01, batch_size=4, consistency=0.1, consistency_rampup=40.0, consistency_type='mse', deterministic=1, ema_decay=0.99, exp='UAMT_unlabel', gpu='0', labeled_bs=2, max_iterations=6000, root_path='../data/2018LA_Seg_Training Set/', seed=1337)
[14:09:13.411] 8 itertations per epoch
[14:09:19.760] iteration 1 : loss : 0.570754 cons_dist: 0.272812, loss_weight: 0.000674
[14:09:22.586] iteration 2 : loss : 0.581300 cons_dist: 0.029545, loss_weight: 0.000674
[14:09:25.418] iteration 3 : loss : 0.590065 cons_dist: 0.130469, loss_weight: 0.000674
[14:09:28.096] iteration 4 : loss : 0.713477 cons_dist: 0.076348, loss_weight: 0.000674
[14:09:30.902] iteration 5 : loss : 0.619382 cons_dist: 0.027726, loss_weight: 0.000674
[14:09:33.717] iteration 6 : loss : 0.517156 cons_dist: 0.036644, loss_weight: 0.000674
[14:09:35.921] iteration 7 : loss : 0.498307 cons_dist: 0.051379, loss_weight: 0.000674
[14:09:38.022] iteration 8 : loss : 0.509519 cons_dist: 0.039087, loss_weight: 0.000674
[14:09:41.565] iteration 9 : loss : 0.576686 cons_dist: 0.020520, loss_weight: 0.000674
[14:09:43.758] iteration 10 : loss : 0.492351 cons_dist: 0.029853, loss_weight: 0.000674
[14:09:45.926] iteration 11 : loss : 0.516138 cons_dist: 0.022049, loss_weight: 0.000674
[14:09:48.111] iteration 12 : loss : 0.442389 cons_dist: 0.004469, loss_weight: 0.000674
[14:09:50.622] iteration 13 : loss : 0.462218 cons_dist: 0.016254, loss_weight: 0.000674
[14:09:52.844] iteration 14 : loss : 0.493820 cons_dist: 0.010339, loss_weight: 0.000674
[14:09:55.029] iteration 15 : loss : 0.503912 cons_dist: 0.007004, loss_weight: 0.000674
[14:09:57.234] iteration 16 : loss : 0.490703 cons_dist: 0.003861, loss_weight: 0.000674
[14:10:00.681] iteration 17 : loss : 0.446689 cons_dist: 0.062180, loss_weight: 0.000674
[14:10:02.778] iteration 18 : loss : 0.452383 cons_dist: 0.023683, loss_weight: 0.000674
[14:10:04.876] iteration 19 : loss : 0.411622 cons_dist: 0.041805, loss_weight: 0.000674
[14:10:07.026] iteration 20 : loss : 0.489206 cons_dist: 0.027176, loss_weight: 0.000674
[14:10:09.144] iteration 21 : loss : 0.439885 cons_dist: 0.009775, loss_weight: 0.000674
[14:10:11.240] iteration 22 : loss : 0.427058 cons_dist: 0.004716, loss_weight: 0.000674
[14:10:13.333] iteration 23 : loss : 0.484068 cons_dist: 0.005156, loss_weight: 0.000674
